txNum,latency,startTime,readCount,writeCount,queryType,concurrentlyExecutingTxNum
0,24351,769654,0,0,0,0,
1,33702,769682,0,0,2,0,
2,924,769718,13,13,3,4,
3,1523,769718,29,29,3,4,
4,1385,769718,27,27,3,5,
5,1255,769718,21,21,3,5,
6,999,769718,3,4,4,6,
7,283,769718,3,4,4,6,
8,1307,769718,3,4,4,7,
9,279,769718,3,4,4,7,
10,446,769718,3,4,4,8,
11,447,769718,3,4,4,8,
12,1120,769718,33,33,3,8,
13,717,769718,15,15,3,8,
14,773,769718,3,4,4,8,
15,1071,769718,3,4,4,8,
16,269,769719,3,4,4,8,
17,259,769719,3,4,4,8,
18,147,769719,3,4,4,7,
19,500,769719,23,23,3,8,
20,115,769719,3,4,4,8,
21,389,769719,3,4,4,6,
22,334,769719,19,19,3,8,
23,225,769719,19,19,3,8,
24,325,769719,3,4,4,8,
25,323,769719,27,27,3,7,
26,108,769719,3,4,4,7,
27,280,769719,29,29,3,8,
28,29,769719,3,4,4,7,
29,242,769719,31,31,3,5,
30,248,769719,3,4,4,5,
31,158,769719,31,31,3,9,
32,137,769719,19,19,3,8,
33,31,769719,3,4,4,8,
34,93,769719,23,23,3,5,
35,146,769719,29,29,3,3,
36,4,769720,3,4,4,7,
37,82,769720,17,18,3,6,
38,50,769720,3,4,4,8,
39,59,769720,3,4,4,7,
40,130,769720,3,4,4,5,
41,30,769720,3,4,4,8,
42,33,769720,3,4,4,8,
43,238,769720,29,29,3,4,
44,10,769720,3,4,4,2,
45,26,769720,3,4,4,2,
46,132,769720,25,25,3,4,
47,85,769720,15,15,3,5,
48,1,769720,3,4,4,3,
49,213,769720,3,4,4,6,
50,190,769720,3,4,4,6,
51,259,769720,31,31,3,6,
52,70,769720,3,4,4,7,
53,161,769720,3,4,4,8,
54,224,769720,19,19,3,8,
55,224,769720,13,13,3,9,
56,400,769720,27,27,3,7,
57,360,769720,25,25,3,8,
58,285,769720,25,25,3,9,
59,297,769720,3,4,4,8,
60,14,769720,3,4,4,8,
61,455,769720,31,31,3,7,
62,431,769720,33,33,3,8,
63,429,769720,3,4,4,8,
64,252,769720,3,4,4,6,
65,379,769720,25,25,3,8,
66,453,769720,3,4,4,9,
67,380,769720,31,31,3,7,
68,275,769720,33,33,3,6,
69,150,769720,3,4,4,5,
70,19,769720,3,4,4,8,
71,81,769720,3,4,4,9,
72,44,769720,3,4,4,8,
73,189,769720,23,23,3,5,
74,45,769720,21,21,3,7,
75,118,769720,3,4,4,5,
76,106,769720,3,4,4,6,
77,116,769720,3,4,4,5,
78,116,769720,13,13,3,5,
79,158,769720,3,4,4,7,
80,159,769720,3,4,4,8,
81,361,769721,31,31,3,4,
82,241,769721,17,17,3,6,
83,295,769721,25,25,3,6,
84,326,769721,3,4,4,7,
85,136,769721,3,4,4,6,
86,170,769721,3,4,4,6,
87,162,769721,3,4,4,7,
88,124,769721,3,4,4,7,
89,255,769721,29,29,3,7,
90,115,769721,3,4,4,8,
91,188,769721,33,33,3,6,
92,137,769721,23,23,3,8,
93,159,769721,29,29,3,6,
94,145,769721,3,4,4,5,
95,117,769721,3,4,4,8,
96,104,769721,3,4,4,7,
97,42,769721,17,17,3,6,
98,30,769721,3,4,4,7,
99,19,769721,15,15,3,4,
100,52,769721,17,17,3,5,
101,17,769721,15,15,3,3,
102,40,769721,3,4,4,4,
103,39,769721,3,4,4,5,
104,48,769721,3,4,4,5,
105,23,769721,3,4,4,5,
106,61,769721,19,19,3,5,
107,77,769721,31,31,3,4,
108,52,769721,3,4,4,6,
109,38,769721,29,29,3,4,
110,35,769721,23,23,3,5,
111,66,769721,33,33,3,4,
112,70,769721,3,4,4,4,
113,49,769721,27,27,3,4,
114,10,769721,3,4,4,2,
115,65,769721,23,23,3,5,
116,42,769721,17,17,3,6,
117,0,769721,3,4,4,3,
118,45,769721,13,13,3,5,
119,1,769721,3,4,4,4,
120,97,769721,25,25,3,5,
121,117,769721,21,21,3,4,
122,117,769721,27,27,3,5,
123,152,769721,3,4,4,7,
124,107,769721,3,4,4,6,
125,145,769721,3,4,4,8,
126,69,769721,17,17,3,7,
127,63,769721,25,25,3,7,
128,64,769721,3,4,4,6,
129,63,769721,3,4,4,6,
130,21,769721,3,4,4,2,
131,88,769721,23,23,3,6,
132,11,769721,3,4,4,4,
133,64,769721,17,17,3,6,
134,45,769721,13,13,3,6,
135,69,769721,3,4,4,6,
136,53,769721,3,4,4,7,
137,106,769721,21,21,3,7,
138,20,769721,3,4,4,8,
139,124,769721,31,31,3,6,
140,68,769721,23,23,3,7,
141,108,769721,3,4,4,4,
142,27,769721,17,17,3,7,
143,93,769721,31,31,3,7,
144,51,769721,3,4,4,7,
145,7,769721,13,13,3,9,
146,3,769721,3,4,4,8,
147,36,769721,15,15,3,8,
148,39,769721,3,4,4,7,
149,61,769721,15,15,3,6,
150,62,769721,19,19,3,6,
151,35,769721,13,13,3,4,
152,35,769721,3,4,4,4,
153,5,769721,3,4,4,8,
154,8,769721,3,4,4,8,
155,44,769721,13,13,3,3,
156,3,769721,3,4,4,3,
157,116,769721,23,23,3,5,
158,40,769721,13,13,3,5,
159,119,769721,3,4,4,5,
160,2,769721,3,4,4,6,
161,146,769721,21,21,3,6,
162,129,769721,13,13,3,7,
163,107,769721,13,13,3,7,
164,17,769721,3,4,4,8,
