txNum,latency,startTime,readCount,writeCount,queryType,concurrentlyExecutingTxNum
0,25479216,770234,0,0,0,0,
1,58534045,770460,0,0,2,0,
2,1231496,770521,27,27,3,4,
3,1000175,770521,19,19,3,5,
4,998159,770521,19,19,3,5,
5,1568648,770521,31,31,3,6,
6,1693579,770521,3,4,4,6,
7,492039,770521,3,4,4,6,
8,1208906,770521,3,4,4,6,
9,571670,770521,3,4,4,7,
10,479593,770521,3,4,4,8,
11,634780,770521,3,4,4,9,
12,338638,770522,15,15,3,7,
13,493804,770522,3,4,4,8,
14,537028,770522,21,21,3,8,
15,864485,770522,27,27,3,9,
16,413231,770522,19,19,3,8,
17,111423,770522,3,4,4,8,
18,502811,770522,3,4,4,8,
19,59206,770522,3,4,4,7,
20,1307507,770522,29,29,3,8,
21,685384,770522,15,15,3,7,
22,1098877,770522,25,25,3,7,
23,840959,770522,3,4,4,8,
24,1005374,770522,25,25,3,9,
25,969683,770522,25,25,3,8,
26,342946,770522,3,4,4,8,
27,749694,770522,31,31,3,9,
28,713496,770523,3,4,4,8,
29,541089,770523,15,15,3,8,
30,530237,770523,27,27,3,7,
31,169173,770523,29,29,3,8,
32,84482,770523,3,4,4,7,
33,288893,770523,33,33,3,4,
34,256039,770523,3,4,4,6,
35,194214,770523,31,31,3,5,
36,142171,770523,15,15,3,7,
37,215241,770523,3,4,4,4,
38,150328,770523,15,15,3,7,
39,69186,770523,3,4,4,6,
40,60437,770523,31,31,3,5,
41,3838,770523,3,4,4,4,
42,201413,770523,25,25,3,2,
43,34930,770523,3,4,4,2,
44,535654,770523,27,27,3,4,
45,130883,770523,17,17,3,3,
46,503193,770524,21,21,3,4,
47,367874,770524,3,4,4,6,
48,277261,770524,3,4,4,5,
49,217258,770524,3,4,4,6,
50,353230,770524,3,4,4,4,
51,367486,770524,33,33,3,4,
52,321886,770524,3,4,4,5,
53,125293,770524,3,4,4,7,
54,243615,770524,3,4,4,7,
55,142884,770524,17,17,3,4,
56,151316,770524,17,17,3,4,
57,66603,770524,3,4,4,8,
58,81612,770524,3,4,4,8,
59,3639,770524,3,4,4,8,
60,5228,770524,3,4,4,1,
61,107411,770524,25,25,3,5,
62,52368,770524,3,4,4,4,
63,81290,770524,17,17,3,6,
64,96884,770524,29,30,3,6,
65,13110,770524,3,4,4,6,
66,112658,770524,31,31,3,7,
67,15682,770524,3,4,4,7,
68,14699,770524,3,4,4,6,
69,85406,770524,3,4,4,8,
70,117762,770524,33,33,3,8,
71,368874,770524,33,33,3,7,
72,501288,770524,3,4,4,8,
73,118605,770524,25,25,3,6,
74,115209,770524,33,33,3,5,
75,74576,770524,17,17,3,7,
76,17338,770524,3,4,4,8,
77,37521,770524,3,4,4,8,
78,31644,770524,3,4,4,7,
79,41480,770524,3,4,4,6,
80,44213,770524,21,21,3,6,
81,30330,770524,3,4,4,4,
82,512587,770524,23,23,3,6,
83,411989,770524,19,19,3,6,
84,420248,770524,3,4,4,5,
85,408435,770524,19,19,3,7,
86,629489,770524,3,4,4,7,
87,398695,770524,15,15,3,6,
88,734342,770524,29,29,3,7,
89,352520,770524,13,13,3,8,
90,440728,770525,21,21,3,8,
91,489311,770525,3,4,4,8,
92,92491,770525,3,4,4,6,
93,542581,770525,29,29,3,6,
94,212283,770525,3,4,4,7,
95,419115,770525,3,4,4,8,
96,520312,770525,31,31,3,8,
97,379820,770525,19,19,3,8,
98,109443,770525,3,4,4,8,
99,314763,770525,21,21,3,6,
100,22072,770525,3,4,4,8,
101,361530,770525,29,29,3,6,
102,199685,770525,13,13,3,6,
103,157846,770525,17,17,3,7,
104,454931,770525,33,33,3,7,
105,155234,770525,3,4,4,7,
106,185701,770525,29,29,3,6,
107,256697,770525,33,33,3,6,
108,26688,770525,3,4,4,5,
109,31476,770525,3,4,4,5,
110,100506,770525,19,19,3,6,
111,80871,770525,3,4,4,4,
112,57431,770525,3,4,4,4,
113,35860,770525,19,19,3,5,
114,116602,770525,19,19,3,5,
115,136285,770525,23,23,3,6,
116,66980,770525,3,4,4,8,
117,9359,770525,3,4,4,7,
118,47551,770525,3,4,4,7,
119,58760,770526,15,15,3,5,
120,18531,770526,3,4,4,8,
