Transaction ID, Start Time, readCount, writeCount
0,311065,0,0
1,311093,0,0
2,311135,13,13
3,311135,31,31
4,311135,25,25
5,311135,29,29
6,311135,3,4
7,311135,3,4
8,311135,3,4
9,311135,3,4
10,311135,3,4
11,311135,3,4
12,311135,3,4
13,311135,3,4
14,311135,31,31
15,311135,3,4
16,311135,3,4
17,311135,23,23
18,311135,25,25
19,311135,17,17
20,311135,3,4
21,311135,27,27
22,311135,29,29
23,311135,3,4
24,311135,13,13
25,311135,31,31
26,311135,29,29
27,311135,3,4
28,311135,19,19
29,311135,3,4
30,311135,3,4
31,311135,3,4
32,311135,29,29
33,311135,3,4
34,311135,15,15
35,311135,3,4
36,311135,13,13
37,311135,25,25
38,311135,21,21
39,311135,27,27
40,311135,13,13
41,311135,3,4
42,311135,3,4
43,311135,27,27
44,311135,3,4
45,311135,3,4
46,311135,3,4
47,311135,3,4
48,311135,27,27
49,311135,3,4
50,311135,33,33
51,311135,17,17
52,311135,3,4
53,311135,3,4
54,311135,17,17
55,311135,3,4
56,311135,3,4
57,311135,17,17
58,311135,3,4
59,311135,3,4
60,311135,3,4
61,311135,3,4
62,311135,3,4
63,311135,3,4
64,311135,23,23
65,311135,3,4
66,311135,27,27
67,311135,3,4
68,311135,3,4
69,311135,3,4
70,311135,23,23
71,311135,21,21
72,311135,17,17
73,311135,3,4
74,311135,3,4
75,311135,15,15
76,311135,3,4
77,311135,17,17
78,311135,23,23
79,311135,3,4
80,311135,3,4
81,311135,13,13
82,311135,15,15
83,311135,3,4
84,311135,3,4
85,311135,3,4
86,311135,3,4
87,311135,3,4
88,311135,3,4
89,311135,3,4
90,311135,3,4
91,311135,13,13
92,311135,15,15
93,311135,3,4
94,311135,3,4
95,311135,27,27
96,311135,3,4
97,311135,17,17
98,311135,3,4
99,311135,33,33
100,311135,17,17
101,311135,3,4
102,311135,3,4
103,311135,25,25
104,311135,3,4
105,311135,3,4
106,311135,3,4
107,311135,3,4
108,311135,3,4
109,311135,3,4
110,311135,15,15
111,311135,3,4
112,311135,27,27
113,311135,3,4
114,311135,3,4
115,311135,3,4
116,311135,13,13
117,311135,29,29
118,311135,27,27
119,311135,3,4
120,311135,3,4
121,311135,3,4
122,311135,29,29
123,311135,29,29
124,311135,3,4
125,311135,29,29
126,311135,3,4
127,311135,3,4
128,311135,3,4
129,311135,33,33
130,311135,3,4
131,311135,31,31
132,311135,23,23
133,311135,13,13
134,311135,3,4
135,311135,3,4
136,311135,3,4
137,311135,3,4
138,311135,19,19
139,311135,3,4
140,311135,3,4
141,311135,3,4
142,311135,3,4
143,311135,29,29
144,311135,33,33
145,311135,3,4
146,311135,3,4
147,311135,3,4
148,311135,3,4
149,311135,3,4
150,311135,19,19
151,311135,33,33
152,311135,23,23
153,311135,3,4
154,311135,13,13
155,311135,3,4
156,311136,3,4
157,311136,23,23
158,311136,31,31
159,311136,27,27
160,311136,3,4
161,311136,3,4
162,311136,13,13
163,311136,3,4
164,311136,29,29
165,311136,3,4
166,311136,3,4
167,311136,3,4
168,311136,31,31
169,311136,29,29
170,311136,3,4
171,311136,3,4
172,311136,3,4
173,311136,3,4
174,311136,33,33
175,311136,3,4
176,311136,31,31
177,311136,3,4
178,311136,25,25
179,311136,3,4
180,311136,19,19
181,311136,15,15
182,311136,31,32
183,311136,3,4
184,311136,33,33
185,311136,3,4
186,311136,29,29
