Transaction ID, Latency
1, 5260723
3, 13449
5, 34124
6, 11401
7, 10315
8, 2663
9, 6368
10, 6345
11, 7510
12, 10834
13, 5225
14, 3375
15, 6120
16, 7005
17, 6795
18, 9454
19, 19302
20, 14570
4, 139843
21, 11155
23, 6123
24, 8877
25, 5995
26, 7770
27, 8526
22, 39019
29, 4983
28, 15743
30, 11434
31, 12034
32, 22971
35, 14879
36, 22087
34, 61743
33, 65335
37, 6433
38, 7822
40, 3295
41, 7730
42, 8047
39, 35881
43, 24171
44, 26503
47, 16636
46, 26666
49, 2173
50, 1905
48, 15235
51, 3867
45, 50131
53, 1409
52, 4179
54, 12290
55, 16025
57, 5523
59, 1941
58, 8114
56, 24999
61, 3713
63, 3954
60, 17713
64, 8921
65, 7026
62, 23764
66, 3473
67, 5043
70, 5236
68, 13674
71, 4566
69, 16507
73, 9120
72, 11099
76, 14822
75, 20153
74, 26308
77, 8667
78, 10516
79, 13008
81, 9885
83, 2612
82, 10699
80, 21968
85, 5207
84, 15694
87, 5539
89, 4720
88, 13218
91, 2860
90, 7950
92, 3289
93, 2947
94, 2836
95, 3209
96, 2412
97, 1633
98, 3855
99, 3976
86, 49659
100, 4670
101, 4310
103, 2174
105, 2722
102, 8442
104, 11766
108, 1025
109, 2614
110, 1041
107, 10590
106, 16947
111, 4902
114, 3451
113, 6860
116, 2793
115, 10210
112, 20293
117, 7322
120, 6574
119, 7814
121, 3831
118, 15940
122, 5169
123, 18439
124, 22360
125, 21922
127, 5225
126, 9514
129, 6871
130, 7090
132, 3697
131, 7083
128, 21670
133, 3024
136, 2485
135, 5471
134, 10578
138, 2520
139, 3323
140, 4330
141, 3950
142, 3001
143, 2956
144, 3237
137, 26654
145, 11401
146, 24045
147, 15933
150, 2084
149, 5455
151, 5477
152, 4133
148, 27674
153, 4454
155, 2819
156, 3648
157, 3193
158, 3091
159, 2562
160, 3623
161, 3977
162, 3852
154, 19471
164, 12248
165, 28169
163, 36462
166, 10925
167, 16168
168, 31892
170, 18450
171, 12731
172, 12894
173, 17565
174, 6846
175, 1783
176, 1331
177, 2197
179, 917
178, 6435
169, 76174
180, 2888
181, 2299
182, 4146
184, 6762
185, 2123
183, 11981
186, 15339
189, 2440
190, 1304
187, 26634
192, 859
191, 1905
193, 12705
194, 12488
195, 4426
197, 14190
196, 16941
198, 25911
199, 31899
188, 91188
200, 10158
201, 5914
203, 8189
205, 10198
202, 23470
206, 8208
208, 4881
207, 12858
210, 4413
204, 40534
209, 10323
211, 6635
212, 7515
213, 13604
214, 10027
217, 5100
218, 15455
216, 24495
219, 16226
220, 27532
222, 3481
221, 25700
223, 20399
224, 12715
215, 91823
225, 5328
226, 4664
228, 3658
227, 10789
229, 10063
231, 3534
232, 5297
233, 9895
230, 21201
236, 2722
235, 4253
234, 20404
237, 10135
239, 2171
240, 3022
242, 1832
241, 6289
243, 4693
244, 4515
238, 30842
246, 6014
245, 8240
247, 7131
248, 12166
250, 5836
249, 15274
252, 4362
253, 5299
254, 2925
251, 15366
256, 4934
257, 3668
258, 4893
259, 2897
260, 5128
261, 4792
255, 23394
263, 3951
262, 6142
264, 3918
266, 2890
267, 1929
265, 5997
268, 3094
269, 4004
270, 12667
271, 9531
274, 10715
273, 11545
272, 23270
276, 4649
277, 3088
275, 6989
279, 3801
280, 3161
281, 2800
282, 3608
283, 3019
284, 2073
278, 15622
285, 3517
286, 2150
288, 2714
289, 2668
291, 2152
290, 3401
287, 8986
2, 1307397
293, 8280
292, 14825
295, 18386
296, 15866
298, 7556
297, 19356
300, 5368
301, 5675
302, 3714
303, 3681
304, 3724
305, 2691
306, 2331
299, 27503
307, 3169
308, 6671
309, 9634
310, 10287
311, 4656
313, 2518
314, 2983
312, 7432
315, 5180
317, 4722
318, 4902
319, 2094
316, 15882
321, 5830
320, 13077
323, 13255
322, 17423
324, 10718
325, 4860
326, 2527
328, 2748
329, 1881
327, 7685
331, 5497
330, 10578
332, 8260
334, 2783
336, 1091
335, 2526
337, 1611
333, 14022
339, 4371
338, 6475
342, 2574
341, 4173
340, 7810
343, 3883
344, 3428
345, 7366
346, 7577
349, 1301
348, 3073
347, 13375
351, 3038
350, 4940
353, 2264
354, 2885
355, 2719
356, 2069
352, 9611
358, 2171
357, 9923
359, 8122
360, 9694
362, 2209
361, 4505
364, 1947
363, 5198
366, 16125
365, 24481
368, 10084
367, 50527
370, 22366
369, 36666
294, 250421
372, 8415
373, 13930
374, 8006
375, 10398
376, 12009
378, 13489
377, 19491
379, 11757
380, 30052
381, 28559
382, 11451
383, 9718
384, 12083
386, 7583
385, 12378
388, 9274
387, 16767
389, 12446
390, 13774
392, 13856
391, 17117
394, 19415
393, 27297
395, 11525
396, 11603
398, 5307
397, 15436
400, 7886
399, 16488
401, 15343
402, 14423
403, 9968
404, 7274
405, 10938
407, 9694
406, 11831
408, 5117
409, 7345
410, 12060
412, 8014
411, 15338
413, 6160
415, 13054
416, 11530
414, 18686
417, 2843
418, 3838
419, 6292
421, 7025
420, 12430
422, 8870
423, 4582
424, 26183
425, 25238
426, 26892
427, 4565
429, 1895
430, 2305
431, 1957
432, 1249
428, 9658
434, 3705
433, 5533
436, 2040
437, 3036
438, 3282
439, 3633
440, 3072
441, 3186
442, 2627
435, 14705
443, 1973
444, 2830
446, 3285
447, 3180
448, 3195
445, 8167
449, 2780
451, 6878
452, 16508
450, 19227
453, 10638
454, 11747
456, 16492
457, 37129
455, 55977
458, 18939
459, 13301
461, 7220
462, 9200
463, 7668
460, 24370
371, 420665
466, 2899
465, 19652
468, 14685
469, 7832
467, 28665
470, 10264
472, 3036
471, 8150
464, 44084
473, 3826
476, 1091
475, 12998
474, 19110
478, 24720
477, 29805
480, 23994
482, 10571
483, 2325
484, 3191
485, 3109
479, 41458
486, 20719
487, 21247
