Transaction ID, Latency
0,25479216
1,58534045
2,1231496
3,1000175
4,998159
5,1568648
6,1693579
7,492039
8,1208906
9,571670
10,479593
11,634780
12,338638
13,493804
14,537028
15,864485
16,413231
17,111423
18,502811
19,59206
20,1307507
21,685384
22,1098877
23,840959
24,1005374
25,969683
26,342946
27,749694
28,713496
29,541089
30,530237
31,169173
32,84482
33,288893
34,256039
35,194214
36,142171
37,215241
38,150328
39,69186
40,60437
41,3838
42,201413
43,34930
44,535654
45,130883
46,503193
47,367874
48,277261
49,217258
50,353230
51,367486
52,321886
53,125293
54,243615
55,142884
56,151316
57,66603
58,81612
59,3639
60,5228
61,107411
62,52368
63,81290
64,96884
65,13110
66,112658
67,15682
68,14699
69,85406
70,117762
71,368874
72,501288
73,118605
74,115209
75,74576
76,17338
77,37521
78,31644
79,41480
80,44213
81,30330
82,512587
83,411989
84,420248
85,408435
86,629489
87,398695
88,734342
89,352520
90,440728
91,489311
92,92491
93,542581
94,212283
95,419115
96,520312
97,379820
98,109443
99,314763
100,22072
101,361530
102,199685
103,157846
104,454931
105,155234
106,185701
107,256697
108,26688
109,31476
110,100506
111,80871
112,57431
113,35860
114,116602
115,136285
116,66980
117,9359
118,47551
119,58760
120,18531
121,167700
122,54702
123,184937
124,5280
125,38777
126,56958
127,59078
128,131746
129,141166
130,106589
131,8524
132,8200
133,137483
134,122436
135,117044
136,138729
137,144099
138,10931
139,15191
140,25028
141,13957
142,25933
143,53845
144,73518
145,75444
146,106546
147,8759
148,74129
149,8789
150,103362
151,77308
152,85544
153,70775
154,76475
155,33384
156,8875
157,8811
158,20883
159,1257
160,52137
161,73170
162,68846
163,73540
164,77464
165,56723
166,44867
167,40303
168,42902
169,40374
170,29093
171,16407
172,26676
173,78826
174,3319
175,28479
176,847
177,15110
178,17424
179,30932
180,34771
181,37633
182,18891
183,46054
184,49610
185,41407
186,46278
187,48686
188,40271
189,47596
190,46237
191,40208
192,41880
193,124256
194,128042
195,100431
196,25138
197,123707
198,120438
199,21616
200,13839
201,122724
202,85901
203,5021
204,754
205,69950
206,89600
207,75671
208,33324
209,33972
210,99625
211,50817
212,26609
213,40669
214,48237
215,13068
216,15592
217,29851
218,40756
219,62220
220,51585
221,51252
222,28467
223,48301
224,42050
225,35811
226,21595
227,10742
228,16875
229,38304
230,16640
231,5735
232,1089
233,42068
234,35058
235,1792
236,32853
237,9642
